date,resort,points,price_per_point,total_price
2026-01-10,CopperCreek,60,$160,
2026-01-10,CopperCreek,175,$131,
2026-01-10,CopperCreek,100,$151,
2026-01-10,CopperCreek,150,$135,
2026-01-10,CopperCreek,100,$155,
2026-01-10,CopperCreek,75,$148,
2026-01-10,DisneylandHotel,180,$180,
2026-01-10,DisneylandHotel,200,$180,
2026-01-10,DisneylandHotel,60,$160,
2026-01-10,DisneylandHotel,50,$180,
2026-01-10,GrandCalifornian,160,$262,
2026-01-10,GrandCalifornian,160,$257,
2026-01-10,GrandCalifornian,200,$255,
2026-01-10,GrandCalifornian,125,$259,
2026-01-10,GrandCalifornian,210,$248,
2026-01-10,GrandCalifornian,160,$262,
2026-01-10,GrandCalifornian,150,$260,
2026-01-10,GrandFloridian,138,$159,
2026-01-10,GrandFloridian,100,$165,
2026-01-10,GrandFloridian,50,$165,
2026-01-10,GrandFloridian,50,$173,
2026-01-10,GrandFloridian,130,$158,
2026-01-10,GrandFloridian,100,$158,
2026-01-10,GrandFloridian,160,$164,
2026-01-10,GrandFloridian,180,$160,
2026-01-10,GrandFloridian,100,$155,
2026-01-10,GrandFloridian,100,$155,
2026-01-10,GrandFloridian,70,$164,
2026-01-10,GrandFloridian,60,$170,
2026-01-10,GrandFloridian,100,$159,
2026-01-10,GrandFloridian,100,$161,
2026-01-10,GrandFloridian,150,$152,
2026-01-10,GrandFloridian,175,$160,
2026-01-10,GrandFloridian,200,$148,
2026-01-10,GrandFloridian,150,$136,
2026-01-10,GrandFloridian,90,$180,
2026-01-10,GrandFloridian,150,$160,
2026-01-10,GrandFloridian,50,$169,
2026-01-10,GrandFloridian,250,$161,
2026-01-10,GrandFloridian,200,$150,
2026-01-10,GrandFloridian,100,$164,
2026-01-10,GrandFloridian,200,$138,
2026-01-10,GrandFloridian,125,$160,
2026-01-10,GrandFloridian,150,$160,
2026-01-10,HiltonHead,210,$65,
2026-01-10,HiltonHead,230,$64,
2026-01-10,HiltonHead,200,$73,
2026-01-10,HiltonHead,30,$77,
2026-01-10,HiltonHead,350,$76,
2026-01-10,HiltonHead,30,$79,
2026-01-10,HiltonHead,160,$65,
2026-01-10,HiltonHead,200,$59,
2026-01-10,HiltonHead,230,$59,
2026-01-10,HiltonHead,100,$77,
2026-01-10,HiltonHead,200,$55,
2026-01-10,HiltonHead,50,$75,
2026-01-10,HiltonHead,160,$60,
2026-01-10,HiltonHead,25,$77,
2026-01-10,HiltonHead,50,$82,
2026-01-10,Old KeyWest,190,$99,
2026-01-10,Old KeyWest,50,$122,
2026-01-10,Old KeyWest,50,$107,
2026-01-10,Old KeyWest,150,$86,
2026-01-10,Old KeyWest,180,$107,
2026-01-10,Old KeyWest,560,$80,
2026-01-10,Old KeyWest,170,$87,
2026-01-10,Old KeyWest,270,$92,
2026-01-10,Old KeyWest,60,$103,
2026-01-10,Old KeyWest,180,$91,
2026-01-10,Old KeyWest,230,$93,
2026-01-10,Old KeyWest,32,$125,
2026-01-10,Old KeyWest,220,$88,
2026-01-10,Old KeyWest,100,$84,
2026-01-10,Old KeyWest,310,$84,
2026-01-10,Old KeyWest,150,$86,
2026-01-10,Old KeyWest,230,$85,
2026-01-10,Old KeyWest,230,$84,
2026-01-10,Old KeyWest,150,$100,
2026-01-10,Old KeyWest,220,$90,
2026-01-10,Old KeyWest,300,$83,
2026-01-10,Old KeyWest,190,$88,
2026-01-10,Old KeyWest,270,$100,
2026-01-10,Old KeyWest,230,$95,
2026-01-10,Old KeyWest,250,$81,
2026-01-10,Old KeyWest,150,$102,
2026-01-10,Old KeyWest,60,$123,
2026-01-10,Old KeyWest,150,$116,
2026-01-10,Old KeyWest,100,$121,
2026-01-10,Old KeyWest,210,$102,
2026-01-10,Old KeyWest,175,$105,
2026-01-10,Old KeyWest,250,$92,
2026-01-10,Old KeyWest,78,$123,
2026-01-10,Old KeyWest,58,$127,
2026-01-10,Old KeyWest,50,$112,
2026-01-10,Old KeyWest,100,$95,
2026-01-10,Old KeyWest,210,$81,
2026-01-10,Old KeyWest,310,$86,
2026-01-10,Old KeyWest,210,$86,
2026-01-10,Old KeyWest,80,$99,
2026-01-10,Old KeyWest,140,$89,
2026-01-10,Old KeyWest,210,$95,
2026-01-10,Old KeyWest,100,$110,
2026-01-10,Old KeyWest,230,$88,
2026-01-10,Old KeyWest,50,$105,
2026-01-10,Polynesian,110,$186,
2026-01-10,Polynesian,200,$179,
2026-01-10,Polynesian,175,$170,
2026-01-10,Polynesian,100,$180,
